"codibge","Município","2012","2013","2014","2015","2016","2017","2018"
"1702901","Axixá do Tocantins (TO)","64913","79718","83505","92032","104586","103842","120577"
"1703008","Babaçulândia (TO)","61026","84676","90440","92000","101667","102829","105415"
"1703057","Bandeirantes do Tocantins (TO)","56894","83175","90901","86779","83262","68677","120313"
"1703073","Barra do Ouro (TO)","38544","44373","50601","48748","55246","46306","56131"
"1703107","Barrolândia (TO)","46669","53920","55472","61091","71681","84020","93732"
"1703206","Bernardo Sayão (TO)","46469","50558","54142","64822","75545","77636","74747"
"1703305","Bom Jesus do Tocantins (TO)","44726","45052","71087","60935","61567","63217","74016"
"1703602","Brasilândia do Tocantins (TO)","26582","31570","34646","39755","39484","38491","41055"
"1703701","Brejinho de Nazaré (TO)","68074","77799","89374","95909","89586","154449","193608"
"1703800","Buriti do Tocantins (TO)","57977","66688","68182","76159","87768","94762","97767"
"1703826","Cachoeirinha (TO)","15112","17929","21664","22182","26403","25904","27213"
"1703842","Campos Lindos (TO)","276422","286958","381718","314383","274355","290585","306490"
"1703867","Cariri do Tocantins (TO)","102874","127304","223167","286391","295819","345108","348873"
"1703883","Carmolândia (TO)","24400","30244","33225","32234","35398","35771","36915"
"1703891","Carrasco Bonito (TO)","23420","27368","29129","30620","34606","37415","39835"
"1703909","Caseara (TO)","42863","56380","66646","64811","161634","132681","158694"
"1704105","Centenário (TO)","20555","20081","24603","28078","30300","33009","34300"
"1704600","Chapada de Areia (TO)","13609","15411","17096","19606","21829","26019","23915"
"1705102","Chapada da Natividade (TO)","40865","43802","56449","60989","61465","66294","64180"
