codibge,UF,own_2011,own_2012,own_2013,own_2014,own_2015,own_2016,own_2017,own_2018,own_2019
432132,RS,263939.28,326333.29,290792.52,313276.10,344498.82,407668.82,409163.54,397077.58,482558.11
432135,RS,480124.57,561941.43,609102.52,589184.71,468991.72,523412.29,529081.14,503083.93,534729.29
432140,RS,1996380.12,2125339.50,2444225.78,2646508.32,2865750.28,2938147.12,3132684.69,3432658.15,3600635.69
432143,RS,2704543.04,1947686.71,2496807.68,2579927.54,2507392.45,2750345.69,2681117.74,2849278.17,3067254.53
432145,RS,9404620.97,9848666.33,9723097.90,11489718.37,11124077.16,10558989.39,11669233.10,11488132.11,12194522.12
432146,RS,1020980.34,1004900.66,754387.31,717220.38,840177.81,752370.61,841971.28,862764.91,1231174.04
432147,RS,368092.31,507780.11,469997.67,403334.25,396123.52,440737.44,408117.54,470250.16,456784.49
432149,RS,171733.87,237197.55,208688.15,203138.32,202299.46,231423.53,199475.61,237196.04,237160.21
432150,RS,42112925.78,38445879.92,45065531.65,43570131.72,40297912.79,38488971.78,45280330.96,46902848.79,50812126.30
432160,RS,34990023.01,34906042.30,43185620.56,41933565.21,40578992.06,38143360.30,37023662.48,42909683.69,46044973.29
432162,RS,195247.96,229638.15,289936.68,278636.33,260766.29,256842.76,288645.70,317855.67,344572.25
432163,RS,545445.63,484054.24,470408.50,572673.69,686506.26,652214.16,908516.40,908764.04,965330.83
432166,RS,2232052.44,1652670.98,2047986.80,1614484.27,1827058.72,1706892.84,1929028.13,1996976.67,2643317.88
432170,RS,4915703.15,5518151.05,6369383.46,5892896.62,6106764.80,5739185.13,5654121.49,5705672.63,5766369.10
432180,RS,6435973.08,6266512.98,7905131.70,7730569.65,8503371.96,8454987.76,10191047.37,10305938.38,11740052.28
432183,RS,336109.75,239303.11,178039.10,167268.54,164568.64,171160.19,168590.85,165563.23,236547.23
